TYP_CD_DES,STN_NAM_DE,latitude,longitude
LRT,TONGKANG LRT STATION,1.389338780999234,103.88593735850418
MRT,UBI MRT STATION,1.3299552646510828,103.89924886694538
MRT,TOA PAYOH MRT STATION,1.3326773930197622,103.84742121698544
MRT,TIONG BAHRU MRT STATION,1.2862197403477758,103.82703434061887
LRT,THANGGAM LRT STATION,1.3974369934900985,103.87565537180738
MRT,PROMENADE MRT STATION,1.2932501665013723,103.86099644333136
MRT,BRAS BASAH MRT STATION,1.2968267738467216,103.85065551122567
MRT,NICOLL HIGHWAY MRT STATION,1.2998028300241866,103.86363313798557
MRT,POTONG PASIR MRT STATION,1.3313873889664463,103.8690699581458
MRT,LAKESIDE MRT STATION,1.3442631499972337,103.72096532038238
LRT,SAMUDERA LRT STATION,1.4158186975082736,103.90208724259827
LRT,RANGGUNG LRT STATION,1.38392147929619,103.89749260370381
MRT,SEMBAWANG MRT STATION,1.4490696336854347,103.82019386183735
LRT,PUNGGOL LRT STATION,1.4051667771841687,103.90239279960396
LRT,KANGKAR LRT STATION,1.384030767016248,103.90225755101534
MRT,PAYA LEBAR MRT STATION,1.3181133871981041,103.89304886927377
MRT,PIONEER MRT STATION,1.3375865014574002,103.69731852722892
MRT,BUGIS MRT STATION,1.3006268210025356,103.85583934819223
MRT,NEWTON MRT STATION,1.3123222845875113,103.83798766457315
LRT,SENGKANG LRT DEPOT,1.3893620204937471,103.88453517659934
MRT,BUONA VISTA MRT STATION,1.3072583224827665,103.78994227923812
MRT,OUTRAM PARK MRT STATION,1.279797774162695,103.83944001291687
MRT,MARINA BAY MRT STATION,1.2765175160736493,103.85461224802397
MRT,DHOBY GHAUT MRT STATION,1.2986992882929114,103.84611560167265
MRT,CHINATOWN MRT STATION,1.2843575515143402,103.84347988628652
MRT,EXPO MRT STATION,1.335252108097468,103.96237940526608
MRT,RAFFLES PLACE MRT STATION,1.2840672706919936,103.85145931546529
MRT,KIM CHUAN DEPOT,1.3417695941592882,103.88893843136646
MRT,TUAS CRESCENT MRT STATION,1.3210532513537918,103.64906349776095
